Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
dd2687e1-cd1e-3f10-8ea9-72db59c49ec6,1990-12-12,,999-59-9061,S99956268,X26738101X,Mr.,Garfield38,Donnelly343,,,M,white,nonhispanic,M,Lexington  Massachusetts  US,120 Ledner Common,Taunton,Massachusetts,Bristol County,02767,41.90182930128986,-71.06367996481444,534301.81,0.00,16681
7f16979b-57d7-ea92-4816-845ebb806687,1975-02-13,,999-74-5741,S99947732,X18163298X,Mrs.,Mayte822,Venegas795,,Casares724,M,white,hispanic,F,Santo Domingo  National District  DO,395 Altenwerth Highlands Apt 32,Ashburnham,Massachusetts,Worcester County,,42.68131008338189,-71.88124973694349,1727244.91,627370.02,115203
d154fcf3-7250-fe08-9943-6fb31e98436c,1965-11-13,,999-92-5923,S99991991,X65729260X,Mr.,Carson894,Ernser583,,,M,white,nonhispanic,M,Tewksbury  Massachusetts  US,876 Ernser Corner Suite 3,North Seekonk,Massachusetts,Bristol County,,41.8534478664849,-71.3606769243613,1517841.40,131849.50,59755
ca29caca-5c41-b238-d6d4-b650a80e88b6,2000-09-06,,999-37-5774,S99919198,X63497901X,Mr.,Porfirio146,Willms744,,,,white,nonhispanic,M,Grafton  Massachusetts  US,214 Fay Trail Unit 29,Winchester,Massachusetts,Middlesex County,,42.435743954013475,-71.17515507225822,1348875.01,55037.44,157024
5600b6e9-def0-78d4-b5e7-814b17f1f9b9,1993-02-01,,999-45-3718,S99947156,X69679545X,Ms.,Kena893,Schulist381,,,S,hawaiian,nonhispanic,F,Newton  Massachusetts  US,933 Abbott Passage,Boston,Massachusetts,Suffolk County,,42.34926335953522,-71.01103194129067,1535557.62,5107.04,20695
2bfebc58-f094-c9e9-7545-4d1edce8306b,1971-05-04,,999-35-4699,S99981660,X40893551X,Ms.,Krishna674,Treutel973,,,S,white,nonhispanic,F,North Attleborough  Massachusetts  US,1049 McClure Key Suite 19,Worcester,Massachusetts,Worcester County,01606,42.323253967703394,-71.6727153629673,2168952.33,902032.75,112122
b28c56ae-b9fa-534c-b6e9-8b34c750b678,1986-08-01,2006-01-13,999-94-8742,S99980976,,Mr.,Clayton230,Beer512,,,,white,nonhispanic,M,Amesbury  Massachusetts  US,131 Armstrong Underpass Suite 51,Fitchburg,Massachusetts,Worcester County,,42.611541653029455,-71.84030292364554,253102.91,0.00,14881
b803bfc4-cabc-311b-f535-d70d5d25b385,1995-07-13,,999-58-4841,S99990234,X44517601X,Mr.,Bryant814,Daugherty69,,,M,white,nonhispanic,M,Northborough  Massachusetts  US,118 Schmitt Highlands Suite 92,Worcester,Massachusetts,Worcester County,01610,42.250312872694785,-71.69759741361922,744763.43,0.00,54689
e6013076-58c5-01d1-c14e-e2cd427636da,1942-03-05,,999-54-3320,S99970792,X62885493X,Ms.,Doreen575,O'Conner199,,,S,white,nonhispanic,F,Hanson  Massachusetts  US,415 Legros Run Suite 34,Uxbridge,Massachusetts,Worcester County,,42.01165509021864,-71.66315845037458,1591660.71,251799.30,21441
3fe39d6f-175c-6601-ea17-56f1d543a000,1984-12-29,,999-85-9158,S99994893,X9675203X,Mr.,Truman805,O'Connell601,,,M,black,nonhispanic,M,Boston  Massachusetts  US,978 Jacobson Wynd Suite 53,Chelsea,Massachusetts,Suffolk County,,42.39305492568585,-71.01810321531255,608621.35,0.00,21797
401d9c0d-76e4-24c1-df00-dc56e1b6b220,1957-08-21,,999-54-2009,S99936663,X48554390X,Mr.,Giuseppe872,Crona259,,,S,white,nonhispanic,M,Chelsea  Massachusetts  US,220 Hansen Highlands Suite 95,Barnstable,Massachusetts,Barnstable County,02632,41.626833823271255,-70.36571540657873,221769.48,124796.90,11879
cc2cf1bb-bb2e-abae-79fc-8c637fb3a516,2024-02-20,,999-62-7070,,,,Roberto515,Gleason633,,,,white,nonhispanic,M,Boston  Massachusetts  US,990 Jakubowski Knoll,Fall River,Massachusetts,Bristol County,02720,41.69362698837026,-71.05641737651985,25152.72,3.41,48379
2d5e2a1d-574f-45cb-b524-f37d2298a0bd,1944-10-14,,999-63-1653,S99987719,X41799250X,Mrs.,Kourtney511,Emmerich580,,Brakus656,M,white,nonhispanic,F,Needham  Massachusetts  US,710 Greenholt Glen Apt 21,Fairhaven,Massachusetts,Bristol County,,41.60119953248212,-70.85303695625872,3330554.88,379259.80,37543
b0b94080-b528-302b-c2b7-d1031d521e9a,1986-08-01,,999-31-6857,S99987998,X21034023X,Mr.,Robert854,Kohler843,,,M,white,nonhispanic,M,Stow  Massachusetts  US,501 Littel Parade,Fitchburg,Massachusetts,Worcester County,01420,42.568058920922624,-71.83779687667244,699182.79,215.08,14881
95861977-2fe5-1808-8f66-798ab512bca7,1978-01-26,,999-40-6946,S99944519,X12497222X,Mr.,Augustus49,Pagac496,,,M,white,nonhispanic,M,Lowell  Massachusetts  US,520 O'Conner Bay Suite 25,Wilmington,Massachusetts,Middlesex County,01887,42.606642897342745,-71.16167566873426,2825508.71,38888.04,450207
cb1560e2-13c4-8924-7041-a2807636ebfb,1989-07-13,,999-85-7363,S99912903,X5084591X,Mr.,Rosendo998,Jacobson885,,,M,white,nonhispanic,M,Revere  Massachusetts  US,757 Mayert Mill,Lexington,Massachusetts,Middlesex County,,42.4342564034162,-71.22138467772767,1079577.59,12091.97,27598
5223120f-b4e5-f9e8-aabe-f88d5155b89c,1968-07-04,,999-51-2910,S99989117,X22144352X,Mrs.,Juana825,Verdugo724,,Garrido242,M,white,hispanic,F,Wesley  Saint Andrew Parish  DM,786 Parker Loaf Unit 30,Holyoke,Massachusetts,Hampden County,01040,42.252449677439024,-72.63810325761186,2730572.55,195782.49,48433
4e506a23-c032-74da-a9cf-9f797a813a82,1981-01-26,,999-20-9131,S99933214,X9617204X,Mrs.,Jennie425,Schuster709,,Kautzer186,M,white,nonhispanic,F,Sturbridge  Massachusetts  US,1031 Altenwerth Union Apt 60,Marblehead,Massachusetts,Essex County,,42.46837929234223,-70.82750971915839,1528524.22,621569.79,119588
eb638a47-1c9a-654c-8151-9f79621595c3,1962-02-15,,999-16-6600,S99922736,X18060188X,Mrs.,Bernadette714,Olson653,,Nicolas769,M,asian,nonhispanic,F,Cantho  Cần Thơ  VN,151 Mueller Flat Suite 9,Attleboro,Massachusetts,Bristol County,,41.90435394630259,-71.31431300496828,2171561.80,418524.49,107603
3db956b1-b18e-aa69-cd19-85ff44d0ca97,1970-11-08,,999-11-9891,S99962774,X13933048X,Mr.,Larry532,Olson653,,,M,white,nonhispanic,M,Berlin  Massachusetts  US,1098 Paucek Heights,West Springfield,Massachusetts,Hampden County,01089,42.173139991903625,-72.66766749691182,1347774.21,6027.94,24573
6ca3d7e4-7556-3ac7-db42-9a9cd9d263c2,2001-03-08,,999-33-6171,S99947279,X3350334X,Ms.,Elwanda490,Rau926,,,,white,nonhispanic,F,Springfield  Massachusetts  US,529 McDermott Vista,Chilmark,Massachusetts,Dukes County,,41.33513125779076,-70.79666400296632,951026.83,1192.61,62678
ea75e231-ba5c-017b-e32e-c196c8b95428,1972-12-28,,999-33-8271,S99916725,X6784026X,Mrs.,Dorthy94,Kunde533,,Lebsack687,M,white,nonhispanic,F,Weymouth  Massachusetts  US,482 McGlynn Rapid,Medway,Massachusetts,Norfolk County,,42.196861268485996,-71.38874985504289,2134162.24,619480.25,141126
4be84514-ca53-6950-b41f-cdd1cd472be2,1973-12-23,,999-53-8816,S99989988,X10695446X,Mr.,Harrison106,Aufderhar910,,,S,white,nonhispanic,M,Stoughton  Massachusetts  US,606 Dickinson Estate Apt 28,Springfield,Massachusetts,Hampden County,01107,42.13610712684571,-72.63005346485845,1290735.40,10961.32,30908
ed1c69f4-159e-e254-9eac-75d6cc03889e,1962-12-18,,999-46-9571,S99916004,X14541987X,Mrs.,Edris973,McCullough561,,Beier427,M,white,nonhispanic,F,Salem  Massachusetts  US,775 Kirlin Throughway Apt 76,Pittsfield,Massachusetts,Berkshire County,01201,42.47716181999005,-73.29038959612116,2707902.40,131768.80,108389
61fdc720-0c00-f71d-6862-1919b592e00f,1988-03-06,,999-50-6664,S99912661,X73261313X,Mr.,Buster609,Kling921,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,216 Ziemann Gateway,Lowell,Massachusetts,Middlesex County,01852,42.69742541168599,-71.30199178631777,1089808.30,1140.69,92656
27b267d3-d622-3139-de0d-3d6949acfd60,1968-05-14,,999-31-3738,S99923880,X61170535X,Mrs.,Destiny774,Dickens475,,Stracke611,M,white,hispanic,F,Boston  Massachusetts  US,306 O'Reilly Bay,Boston,Massachusetts,Suffolk County,02120,42.32574797666327,-71.11174647501662,2269549.62,145596.20,55433
723fac45-0088-a4f9-0021-b1315738fe77,1983-04-28,,999-64-4841,S99950073,X21648978X,Mr.,Jerónimo599,Bétancourt447,,,M,white,hispanic,M,Tegucigalpa  Francisco Morazán  HN,684 Kautzer Spur Suite 11,Westborough,Massachusetts,Worcester County,01581,42.29014095097996,-71.58387216249358,1039348.31,1170.13,90601
362ad744-a9d8-c286-3274-825c50d10a7c,1974-04-22,,999-66-3994,S99940169,X25667848X,Mr.,Dylan44,Hansen121,,,M,white,nonhispanic,M,Ware  Massachusetts  US,869 Marquardt Gate,Waltham,Massachusetts,Middlesex County,02452,42.42799897757906,-71.23896489300685,1272694.47,441.66,141376
2ae5f7cd-296b-ea17-ccc6-cde2395b790e,2024-11-22,,999-24-7943,,,,Vito638,Beatty507,,,,white,nonhispanic,M,Haverhill  Massachusetts  US,214 Adams Junction,Worcester,Massachusetts,Worcester County,01607,42.223647031615045,-71.84751614034326,4460.96,0.00,93669
